name,price,image,date
"Apple iPhone 11, 64GB, Purple - Fully Unlocked (Renewed)",307,"<img src=""https://m.media-amazon.com/images/I/51U8WCTTmCL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone XR, 64GB, White - Unlocked (Renewed Premium)",267,"<img src=""https://m.media-amazon.com/images/I/41ZjUOH6nRL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",529,"<img src=""https://m.media-amazon.com/images/I/71z4b3G3GAL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 12, 128GB, Blue - Fully Unlocked (Renewed)",439,"<img src=""https://m.media-amazon.com/images/I/7117DN7UkKL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 11 Pro, 256GB, Space Gray - Fully Unlocked (Renewed Premium)",504,"<img src=""https://m.media-amazon.com/images/I/61n+UgO3jrL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 8, US Version, 256GB, Space Gray - Unlocked (Renewed)",154,"<img src=""https://m.media-amazon.com/images/I/61FhS4DYV7L._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed Premium)",689,"<img src=""https://m.media-amazon.com/images/I/71FuI8YvCNL._AC_UY218_.jpg"" width=""60"">",2023020223
"iPhone 13 Pro Max, 256GB, Sierra Blue - Unlocked (Renewed Premium)",1101,"<img src=""https://m.media-amazon.com/images/I/61i8Vjb17SL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone XS, US Version, 256GB, Space Gray - Unlocked (Renewed)",264,"<img src=""https://m.media-amazon.com/images/I/61xa10dafvL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)",213,"<img src=""https://m.media-amazon.com/images/I/81SSw14XZHL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 11 Pro Max, 256GB, Space Gray - Unlocked (Renewed)",498,"<img src=""https://m.media-amazon.com/images/I/81ldhum0M4L._AC_UY218_.jpg"" width=""60"">",2023020223
"Total by Verizon iPhone 11, 64GB, Black - Prepaid Smartphone (Locked)",299,"<img src=""https://m.media-amazon.com/images/I/41CYvvlV6HL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 12 Pro Max, 512GB, Graphite - Fully Unlocked (Renewed)",691,"<img src=""https://m.media-amazon.com/images/I/71BiMFOcstL._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 12 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)",689,"<img src=""https://m.media-amazon.com/images/I/31DXs7b1j2L._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 12 Pro Max, 128GB, Graphite - Unlocked (Renewed Premium)",689,"<img src=""https://m.media-amazon.com/images/I/61l3+VGfj2L._AC_UY218_.jpg"" width=""60"">",2023020223
"Apple iPhone 12 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)",689,"<img src=""https://m.media-amazon.com/images/I/61AhDuc-qbL._AC_UY218_.jpg"" width=""60"">",2023020223
